network,autonomous_system_number,autonomous_system_organization
66.235.152.0/22,16509,amazon-02
66.235.151.0/24,16509,amazon-02
66.232.20.0/23,16509,amazon-02
66.206.173.0/24,16509,amazon-02
66.197.184.0/23,16509,amazon-02
66.197.180.0/23,16509,amazon-02
66.197.178.0/23,16509,amazon-02
66.187.204.0/23,16509,amazon-02
66.179.59.0/24,16509,amazon-02
91.190.172.0/22,16509,amazon-02
91.194.25.0/24,16509,amazon-02
64.252.118.0/23,16509,amazon-02
104.153.118.0/24,16509,amazon-02
104.153.116.0/24,16509,amazon-02
104.153.112.0/22,16509,amazon-02
104.129.174.0/24,16509,amazon-02
104.36.215.0/24,16509,amazon-02
104.36.33.0/24,16509,amazon-02
103.246.251.0/24,16509,amazon-02
104.171.198.0/23,16509,amazon-02
103.246.148.0/22,16509,amazon-02
103.235.88.0/24,16509,amazon-02
103.229.233.0/24,16509,amazon-02
103.229.10.0/24,16509,amazon-02
103.229.8.0/23,16509,amazon-02
103.218.172.0/24,16509,amazon-02
103.212.169.0/24,16509,amazon-02
103.212.67.0/24,16509,amazon-02
103.238.120.0/24,16509,amazon-02
104.192.136.0/23,16509,amazon-02
104.192.138.0/24,16509,amazon-02
104.192.140.0/23,16509,amazon-02
104.238.247.0/24,16509,amazon-02
104.238.244.0/23,16509,amazon-02
104.234.187.0/24,16509,amazon-02
104.234.137.0/24,16509,amazon-02
104.232.45.0/24,16509,amazon-02
104.218.206.0/24,16509,amazon-02
104.218.204.0/23,16509,amazon-02
104.218.202.0/24,16509,amazon-02
104.218.200.0/24,16509,amazon-02
104.207.174.0/24,16509,amazon-02
104.207.172.0/23,16509,amazon-02
104.207.170.0/23,16509,amazon-02
104.207.162.0/24,16509,amazon-02
104.200.222.0/24,16509,amazon-02
104.193.207.0/24,16509,amazon-02
104.193.186.0/24,16509,amazon-02
104.192.143.0/24,16509,amazon-02
103.211.172.0/24,16509,amazon-02
104.249.160.0/23,16509,amazon-02
103.207.60.0/23,16509,amazon-02
103.195.128.0/23,16509,amazon-02
103.150.161.0/24,16509,amazon-02
103.150.47.0/24,16509,amazon-02
103.149.112.0/24,16509,amazon-02
103.147.71.0/24,16509,amazon-02
103.145.192.0/24,16509,amazon-02
103.145.182.0/24,16509,amazon-02
103.143.45.0/24,16509,amazon-02
103.150.252.0/24,16509,amazon-02
103.136.10.0/24,16509,amazon-02
103.125.226.0/24,16509,amazon-02
103.125.225.0/24,16509,amazon-02
103.124.134.0/23,16509,amazon-02
103.119.213.0/24,16509,amazon-02
103.107.56.0/24,16509,amazon-02
103.104.86.0/24,16509,amazon-02
103.85.213.0/24,16509,amazon-02
103.127.75.0/24,16509,amazon-02
103.151.39.0/24,16509,amazon-02
103.151.192.0/23,16509,amazon-02
103.161.77.0/24,16509,amazon-02
103.195.60.0/22,16509,amazon-02
103.193.9.0/24,16509,amazon-02
103.190.166.0/24,16509,amazon-02
103.188.89.0/24,16509,amazon-02
103.186.205.0/24,16509,amazon-02
103.182.250.0/23,16509,amazon-02
103.181.240.0/24,16509,amazon-02
103.180.30.0/24,16509,amazon-02
103.179.36.0/24,16509,amazon-02
103.175.120.0/23,16509,amazon-02
103.172.192.0/24,16509,amazon-02
