network,autonomous_system_number,autonomous_system_organization
66.119.144.0/20,8075,microsoft-corp-msn-as-block
66.178.148.0/23,8075,microsoft-corp-msn-as-block
67.210.128.0/23,8075,microsoft-corp-msn-as-block
68.154.0.0/15,8075,microsoft-corp-msn-as-block
68.210.0.0/15,8075,microsoft-corp-msn-as-block
142.147.54.0/24,8075,microsoft-corp-msn-as-block
68.220.0.0/15,8075,microsoft-corp-msn-as-block
69.52.192.0/23,8075,microsoft-corp-msn-as-block
69.52.198.0/23,8075,microsoft-corp-msn-as-block
69.59.17.0/24,8075,microsoft-corp-msn-as-block
69.84.180.0/23,8075,microsoft-corp-msn-as-block
70.37.0.0/17,8075,microsoft-corp-msn-as-block
70.37.128.0/18,8075,microsoft-corp-msn-as-block
70.152.0.0/15,8075,microsoft-corp-msn-as-block
70.156.0.0/15,8075,microsoft-corp-msn-as-block
72.18.78.0/24,8075,microsoft-corp-msn-as-block
72.144.0.0/14,8075,microsoft-corp-msn-as-block
72.152.0.0/14,8075,microsoft-corp-msn-as-block
74.80.229.0/24,8075,microsoft-corp-msn-as-block
74.160.0.0/14,8075,microsoft-corp-msn-as-block
74.176.0.0/14,8075,microsoft-corp-msn-as-block
74.200.130.0/24,8075,microsoft-corp-msn-as-block
74.224.0.0/14,8075,microsoft-corp-msn-as-block
64.4.0.0/18,8075,microsoft-corp-msn-as-block
63.116.158.0/24,8075,microsoft-corp-msn-as-block
62.132.26.0/23,8075,microsoft-corp-msn-as-block
62.97.228.0/24,8075,microsoft-corp-msn-as-block
52.122.160.0/20,8069,microsoft-corp-msn-as-block
52.122.176.0/22,8069,microsoft-corp-msn-as-block
52.122.180.0/22,8075,microsoft-corp-msn-as-block
52.122.184.0/21,8075,microsoft-corp-msn-as-block
52.122.192.0/22,8075,microsoft-corp-msn-as-block
52.122.196.0/22,8069,microsoft-corp-msn-as-block
52.122.200.0/21,8069,microsoft-corp-msn-as-block
52.122.208.0/22,8069,microsoft-corp-msn-as-block
52.122.212.0/22,8075,microsoft-corp-msn-as-block
52.122.216.0/22,8075,microsoft-corp-msn-as-block
52.122.220.0/22,8069,microsoft-corp-msn-as-block
52.122.224.0/21,8069,microsoft-corp-msn-as-block
52.122.232.0/22,8069,microsoft-corp-msn-as-block
52.122.236.0/22,8075,microsoft-corp-msn-as-block
52.122.64.0/18,8069,microsoft-corp-msn-as-block
52.122.240.0/20,8075,microsoft-corp-msn-as-block
52.125.0.0/16,8075,microsoft-corp-msn-as-block
52.126.0.0/15,8070,microsoft-corp-msn-as-block
52.136.0.0/13,8075,microsoft-corp-msn-as-block
52.146.0.0/15,8075,microsoft-corp-msn-as-block
52.148.0.0/14,8075,microsoft-corp-msn-as-block
52.152.0.0/13,8075,microsoft-corp-msn-as-block
52.160.0.0/11,8075,microsoft-corp-msn-as-block
52.224.0.0/11,8075,microsoft-corp-msn-as-block
57.150.0.0/15,8075,microsoft-corp-msn-as-block
57.152.0.0/13,8075,microsoft-corp-msn-as-block
57.160.0.0/12,8075,microsoft-corp-msn-as-block
62.10.0.0/15,8070,microsoft-corp-msn-as-block
62.12.56.0/22,8075,microsoft-corp-msn-as-block
62.12.60.0/23,8075,microsoft-corp-msn-as-block
52.123.0.0/16,8075,microsoft-corp-msn-as-block
142.147.61.0/24,8075,microsoft-corp-msn-as-block
159.128.0.0/16,8075,microsoft-corp-msn-as-block
147.140.72.0/23,8075,microsoft-corp-msn-as-block
199.38.175.0/24,8075,microsoft-corp-msn-as-block
199.60.28.0/24,8075,microsoft-corp-msn-as-block
199.65.27.0/24,8075,microsoft-corp-msn-as-block
199.65.29.0/24,8075,microsoft-corp-msn-as-block
